slug,path,title,words,in_nav,action,redirect_to,confidence,method,reason
litigation-dispute-resolution,/litigation-dispute-resolution/,Litigation Dispute Resolution,2507,yes,keep,,High,pillar,Service pillar — top of the mega-menu.
company-formation-corporate-services,/company-formation-corporate-services/,Company Formation Corporate Services,2415,yes,keep,,High,pillar,Service pillar — top of the mega-menu.
private-notary-attestation-services,/private-notary-attestation-services/,Private Notary Attestation Services,2395,yes,keep,,High,pillar,Service pillar — top of the mega-menu.
contracts-legal-document-drafting,/contracts-legal-document-drafting/,Contracts Legal Document Drafting,2313,yes,keep,,High,pillar,Service pillar — top of the mega-menu.
personal-criminal-legal-services,/personal-criminal-legal-services/,Personal Criminal Legal Services,1987,yes,keep,,High,pillar,Service pillar — top of the mega-menu.
legal-document-drafting-review,/legal-document-drafting-review/,Legal Document Drafting Review,1758,yes,keep,,High,nav-child,Linked from the mega-menu.
home,/,Home,1319,yes,keep,,High,nav-child,Linked from the mega-menu.
our-federation-partners,/our-federation-partners/,Our Federation Partners,1149,no,keep,,High,explicit_override,"Supports /skp-business-federation/ (nav-linked via its logo). Longest orphan at 1,139 words. Link it from the federation page."
uae-courts-litigation-process,/uae-courts-litigation-process/,UAE Courts Litigation Process,749,yes,keep,,High,nav-child,Linked from the mega-menu.
the-integrated-service-model,/the-integrated-service-model/,The Integrated Service Model,702,no,keep,,High,explicit_override,Federation section page. Link from /skp-business-federation/.
the-client-advantage,/the-client-advantage/,The Client Advantage,692,no,keep,,High,explicit_override,Federation section page. Link from /skp-business-federation/.
wills-and-estate-planning,/wills-and-estate-planning/,Wills And Estate Planning,671,yes,keep,,High,nav-child,Linked from the mega-menu.
urgent-and-temporary-measures,/urgent-and-temporary-measures/,Urgent And Temporary Measures,658,yes,keep,,High,nav-child,Linked from the mega-menu.
power-of-attorney,/power-of-attorney/,Power Of Attorney,643,yes,keep,,High,nav-child,Linked from the mega-menu.
local-sponsor-service-agent-services,/local-sponsor-service-agent-services/,Local Sponsor Service Agent Services,631,yes,keep,,High,nav-child,Linked from the mega-menu.
document-attestation-services,/document-attestation-services/,Document Attestation Services,630,yes,keep,,High,nav-child,Linked from the mega-menu.
employment-and-labor-disputes,/employment-and-labor-disputes/,Employment And Labor Disputes,626,yes,keep,,High,nav-child,Linked from the mega-menu.
franchise-agreements,/franchise-agreements/,Franchise Agreements,619,yes,keep,,High,nav-child,Linked from the mega-menu.
drafting-declaration-of-heirs,/drafting-declaration-of-heirs/,Drafting Declaration Of Heirs,616,yes,keep,,High,nav-child,Linked from the mega-menu.
legal-consultations,/legal-consultations/,Legal Consultations,615,no,keep,,High,explicit_override,"v1 service page that nothing replaced. Live today and linked from 22 posts, so it stays published. Open question: does it belong in the menu?"
employment-contracts,/employment-contracts/,Employment Contracts,603,yes,keep,,High,nav-child,Linked from the mega-menu.
compensation-claims,/compensation-claims/,Compensation Claims,602,yes,keep,,High,nav-child,Linked from the mega-menu.
